occurance,transcription,App_TAG
1,to discuss payments,Enquire_Payments
1,updating child_care centre number,Enquire_CCB
1,i have to finding how much i've earned,PaySummary
1,my partner's leaving and therefore i have a spouse to pay living with me,Change_Circumstances
1,my child_care benefit doesn't match,Enquire_CCB
1,to report on tax a tax b,Enquire_FTB
2,six hundred dollar advance,Enquire_LumpPayment
4,for family assistance,Enquire_FamilyAssistance
90,rent assistance,RentAssistance
1,i need to get some allowance back,Enquire_Payments
5,income assessment,Update_FamilyIncomeEstimate
1,work has changed,Employment
1,to hard,Garbage
1,family tax assistance,Enquire_FTB
6,submit earnings,Report_Earnings
1,i need to ask about applying for parenting payment partnered,Claim
1,receiving a letter from centrelink need to change,Respond_Correspondence
1,i need to obtain a copy of my family assistance statement,PaySummary
1,i want to speak to a social worker,GeneralEnquiry
1,my money hasn't gone into my account,Enquire_Payments
11,new baby,Claim
1,want to start up payments again,Enquire_Payments
1,i need to talk about my family tax benefit,Enquire_FTB
1,enquiry about some job carers and family assistance matter,Carers
1,didn't receive a family assistance payment today,Enquire_Payments
38,payment enquiries,Enquire_Payments
1,find out information about forms,IncomeReportingStatement
4,a health_care card,Cards
1,trouble with online access,Support_SelfService
1,change of living circumstance,Change_Circumstances
6,help,Enquire_Vague
1,i want a statement,IncomeReportingStatement
1,my benefit,Enquire_Payments
1,rental subsidy,RentAssistance
1,family tax payment for a child,Enquire_FTB
1,to check_up on new form applied,IncomeReportingStatement
1,update my address and also my husband's income estimate,PersonalDetails
1,find out address of family assistance office in bondi junction,GeneralEnquiry
1,i want to speak to an operator thank you,Request_Operator
1,i want to claim parenting payments,Claim
1,want to change my payment details,Enquire_Payments
1,enquiring about upfront payment,Advance
1,change of address statement of benefit,PersonalDetails
1,i'm using a new child_care centre,Enquire_CCB
1,in regards of a payment,Enquire_Payments
29,family tax benefit payment,Enquire_FTB
1,to get a pin for the internet,Support_SelfService
1,applying for the family tax benefit,Claim
1,like to report my earnings,Report_Earnings
1,job seeker i_d,JobSeeking
1,i need to provide a provider number,Enquire_CCB
1,child_care payment team please,Enquire_CCB
1,about family tax payment,Enquire_FTB
1,i'm applying for a loan,Advance
1,to add another carer,Enquire_CCB
1,need to tell no tax,TaxReturn
1,i wanna talk to a customer officer about a tafe course,Education
1,information of the thirty percent rebate child_care,ChildCareRebate
1,check the status on my maternity payment,Maternity
1,serve,Garbage
1,to fix my earnings,Report_Earnings
1,i need to update my family earnings,Update_FamilyIncomeEstimate
3,advance payment details,Advance
1,i received a letter today for the child_care benefit percentage my son is now at school not at preschool anymore just advising that he's not not at the preschool anymore he's at school,Enquire_CCB
1,to apply for the supplement,Enquire_FamilyAssistance
1,new child registration,Claim
1,taxable income received,PaySummary
1,claim enquiry,Claim
1,faxing a form,IncomeReportingStatement
1,i just wanna know how much i'm gonna get today for my little girl,Check_Payments
1,income yearly income report,Update_FamilyIncomeEstimate
1,date my assets,Enquire_Payments
1,i want the family tax benefit advance,Advance
2,customer service officer please,Request_Operator
1,to see that my tax return has been processed,TaxReturn
1,the carers allowance,Carers
1,i need to talk to somebody about tax return,TaxReturn
1,i want to find out what the full payment was for my family payment,TaxReturn
1,my pay didn't go into my bank fully,Enquire_Payments
1,i wanna update my family income estimate,Update_FamilyIncomeEstimate
1,new child new_born bonus thank you,Enquire_CCB
1,i need to change carer custody,Enquire_CCB
5,after_school care,Enquire_CCB
1,a tax,Enquire_Tax
1,wish to speak to an operator,Request_Operator
1,about the bonus we get for the children bonus,Enquire_LumpPayment
1,just to say i don't have to put a tax return in,TaxReturn
1,i need to report some earnings,Report_Earnings
2,applying for parenting payment,Claim
1,access,Enquire_Vague
1,i was wondering if the family assistance bonus for six hundred dollars,Enquire_LumpPayment
1,i want to know exactly what my account payable is,Debt
1,family tax payment enquiry,Enquire_FTB
1,enquiring about income,Enquire_Earnings
3,find out about payment,Check_Payments
1,i wanna find out when i'm being paid my family,Check_Payments
1,advancement on child payment,Advance
1,enquiring about my family tax,Enquire_FTB
1,family income benefit update,Update_FamilyIncomeEstimate
3,family child_care,Enquire_CCB
1,enquiry family payment,Enquire_Payments
1,account details for security says centrelink payments,PersonalDetails
1,i need to report to,Report_Earnings
1,find out for my bonus money,GeneralBonus
1,a child_care rebate,ChildCareRebate
2,to find out how much i'm getting paid,Check_Payments
5,to speak to someone,Request_Operator
1,i'm wondering about the family payment,Enquire_Payments
6,a letter i received,Respond_Correspondence
1,need to ask about a payment,Enquire_Payments
1,filling in a form,IncomeReportingStatement
1,exceptional circumstances claim,Change_Circumstances
1,i need to talk to someone about my shared care,Enquire_SharedCare
1,group certificate and parenting bonus,PaySummary
1,i've been suspended on the internet,Support_SelfService
3,child benefit,Enquire_CCB
1,yeah i want to see the update,Update_FamilyIncomeEstimate
1,alter family assist payment,Enquire_Payments
1,a loan advance loan,Advance
1,new bonus,GeneralBonus
1,i would like to discuss with an operator work for the dole program,Employment
1,changing bank account,PersonalDetails
1,assistance for child_care,Enquire_CCB
1,enrollment form for college vacation care,Enquire_CCB
1,wanna find out about my five hundred dollar loan,Advance
1,and i wanna find out what i'm getting next week from the family,Check_Payments
1,my spouse's income,Update_FamilyIncomeEstimate
1,i need to report my new income,Report_Earnings
1,clearing parenting payment cancellation,Enquire_Parenting
1,a query of my family assistance payment,Enquire_Payments
1,finding out why my payment was not put into the bank,Enquire_Payments
2,for an advance,Advance
1,cancellation of parenting payments,Enquire_Parenting
1,kindy provider number,Enquire_CCB
1,got a letter here that i want to speak to someone about,Respond_Correspondence
1,family advance payments,Advance
2,about my family tax benefit payment,Enquire_FTB
2,application for parenting payment,Claim
1,i want to know my child_care benefit,Enquire_CCB
1,bonus claim,GeneralBonus
1,baby bonus application lodgement,Maternity
2,government grant,Enquire_FamilyAssistance
1,i want to know my payment information,Check_Payments
2,report hours,Report_Earnings
1,i'm after the family assistance line to see whenever i'm getting paid for this single child,Enquire_FamilyAssistance
1,register my children with vacation care,Enquire_CCB
1,stop family payments,Enquire_FamilyAssistance
2,i need to update my assets,Enquire_Payments
1,lawrence,Garbage
1,my husband has received a pay rise,Update_FamilyIncomeEstimate
1,didn't get paid pension today,Enquire_Payments
1,to say i don't have to lodge a tax return,TaxReturn
1,c_c_r payment,ChildCareRebate
1,register for after_school care,Enquire_CCB
1,change account numbers,PersonalDetails
2,talk to a consultant,Request_Operator
1,do i need to report my earnings,Report_Earnings
1,payment relations,Enquire_Payments
1,i beg your pardon,Enquire_Vague
1,not paying tax,Enquire_Tax
2,speak to a customer service please,Request_Operator
1,taxation papers,Enquire_Tax
1,a family tax,Enquire_FTB
1,i just wanna enquire about the c_c_t_r,ChildCareRebate
1,need to update my income,Update_FamilyIncomeEstimate
1,i'm just calling up about a query about i've got a debit on my family assistance and i want i wanted to raise just the amount of my family assistance i mean my yearly income total,Debt
8,family advance payment,Advance
1,enquiry on family assistance letter,Enquire_FamilyAssistance
1,information on capital gains tax and pension payment,Enquire_Tax
4,family assistance estimate,Update_FamilyIncomeEstimate
1,reduction in family assistance,Enquire_FamilyAssistance
1,i need to talk to somebody about child_care benefit,Enquire_CCB
1,immunization payment for a child,Immunisation
1,i need help with tax,Enquire_Tax
1,i wanna get a higher access level on the online online services,Support_SelfService
1,tax purposes baby bonus,Maternity
1,i just want to update my child immunization history statement,Immunisation
3,advanced loan,Advance
1,query on letter sent today,Respond_Correspondence
1,i need to let you know that i've i've left my husband,Change_Circumstances
1,rent assistance cut off,RentAssistance
1,the payment details,Check_Payments
3,tax return non lodgement,TaxReturn
1,enquiries about family allowance,Enquire_FamilyAssistance
1,i am calling in relation to the family tax benefit,Enquire_FTB
1,in for new_born child claim for family assistance and medicare,Claim
1,the for letter for assessment for child_care benefit,Enquire_CCB
1,enquiry on carers pension,Carers
1,i'm seeking work need some assistance,Employment
1,checking enquiry,Enquire_Vague
1,i want to know if i'm eligible for a child_care benefit,Claim
4,update family tax benefit,Enquire_FTB
1,can't find my card,Cards
5,single parent pension,Enquire_Parenting
1,i need help fill out the family tax benefit,Enquire_FTB
2,i need to report something,Report_Earnings
2,i need to check my payments,Check_Payments
1,ringing up about my pay,Check_Payments
1,i want to do a number,Enquire_Vague
1,i think you missed one child on my assessment benefit,Assessment
1,self_service facilities,GoTo_SelfService
1,report my wages,Report_Earnings
2,operator assistance please,Request_Operator
1,i want to report report my earnings,Report_Earnings
7,change bank account,PersonalDetails
1,reclaim for parenting payment,Claim
1,earned income,Report_Earnings
1,to see when i'm going my lump_sum,Enquire_LumpPayment
1,replacement centrelink card,Cards
1,i have an enquiry about disability support,SicknessDisability
1,just to talk to a operator,Request_Operator
1,apply for a lump_sum advance,Advance
1,family assistance confirmation,Enquire_FamilyAssistance
1,payment adjustment,Enquire_Payments
1,finding out about thirty percent child_care tax rebate,ChildCareRebate
1,calling about the family lump_sum payment,Enquire_LumpPayment
1,cause i missed an appointment i need to make a new one,Appointment
1,enquiry for one_off payment,Enquire_Payments
3,change estimate,Update_FamilyIncomeEstimate
1,to sort out the income tax tax and family tax part_b,Enquire_FTB
1,claim for family assistance new_born child,Claim
1,i want to find out about a newstart allowance,NewStart
1,i need to report my,Report_Earnings
1,unpaid debt,Debt
1,change of employment details,Employment
1,to know about when i'll get six hundred dollars,Enquire_LumpPayment
1,i changed my thing to payment to not to get in the thing in the same,Enquire_FamilyAssistance
1,check on my parenting payment,Check_Payments
1,my tax return,TaxReturn
1,i want to know right of family payment and parenting payment,TaxReturn
1,declare my earnings,Report_Earnings
18,fortnightly income,Report_Earnings
1,children's day_care,Enquire_CCB
1,pertain,Garbage
1,i want to update my family income estimate for payments,Update_FamilyIncomeEstimate
7,change income estimate,Update_FamilyIncomeEstimate
1,i want to cancel my payments,Enquire_Payments
1,family bonus earning bonus,GeneralBonus
1,want to change where my son goes to child_care,Enquire_CCB
1,fortnightly report in,Report_Earnings
1,i need to to explain me the letter for assessment notice for child care benefit,Enquire_CCB
1,new pension card,Cards
1,family assistance for child_care benefits,Enquire_CCB
1,about advance payment,Advance
1,i need some clarification for my health_care card,Cards
1,sickness benefit,SicknessDisability
1,i wanna find out about the lump_sum payment six hundred dollar a child,Enquire_LumpPayment
4,jet,Enquire_Jet
3,change appointment time,Appointment
1,rental advice,RentAssistance
1,i don't have to do a tax return,TaxReturn
1,self_service loan,Advance
1,it's just an enquiry,Enquire_Vague
1,i have to speak to an operator about my payments,Enquire_Payments
1,i'd like to talk to an operator please,Request_Operator
1,information about form sent,Respond_Correspondence
1,i just wanted to know when my next payment is,Check_Payments
1,i need the records of my child_care benefits received and child_care benefits incurred,Enquire_CCB
1,i am ringing for a group certificate,PaySummary
77,check payments,Check_Payments
2,child_care benefit for registered care,Enquire_CCB
1,report my earning,Report_Earnings
1,to find out about my lump_sum and my baby money,Enquire_LumpPayment
1,want to update my family estimate,Update_FamilyIncomeEstimate
1,to find out if i need to lodge a tax return,TaxReturn
1,i really don't know,Enquire_Vague
2,claim for family assistance and medicare,Claim
1,i want to know how much i'm getting paid,Check_Payments
2,parent information,Enquire_Parenting
1,family income assessment,Update_FamilyIncomeEstimate
2,amount of next payment,Check_Payments
2,i want to know when the family tax benefit will be paid,Enquire_FTB
1,enquire about the carer payment,Carers
1,i need to speak to someone about a letter,Respond_Correspondence
1,reinstate my family assistance,Enquire_FamilyAssistance
1,government housing,RentAssistance
1,just wondering when we're entitled to the six hundred dollars each per child,Enquire_LumpPayment
1,wanting to adjust my child support,ChildSupport
1,to find out about the lump_sum payment,Enquire_LumpPayment
4,child rebate,ChildCareRebate
1,when the payments are going to be put into the bank,Check_Payments
1,just enquiring about my child's payments,Enquire_Payments
1,on loan claim,Advance
1,lodging claim,Claim
1,to apply for,Enquire_Vague
1,putting my children in vacation care,Enquire_CCB
1,eighteen hundred and fifty dollar advance,Advance
1,pension parenting pension,Enquire_Parenting
1,estimate tax,Update_FamilyIncomeEstimate
1,i want to apply for a pin number please,Support_SelfService
1,child_care rebate report,ChildCareRebate
1,claims and youth allowance,YouthAllowance
1,estimate and forms,Update_FamilyIncomeEstimate
1,cancellation of my family assistance,Enquire_FamilyAssistance
1,family assistant evaluation,Enquire_FamilyAssistance
4,my family tax benefit,Enquire_FTB
2,no tax lodgement,TaxReturn
1,my payments parenting payments,Enquire_Parenting
1,a printout of child_care,Enquire_CCB
2,rent assistance query,RentAssistance
1,i want to inform my daughter is been admitted to day_care centre,Enquire_CCB
2,hello hello,Garbage
1,enquiring when group certificates will be sent out,PaySummary
1,i need to change my account number,PersonalDetails
1,information on for,Enquire_Vague
8,family day_care,Enquire_CCB
1,receipt of documents,IncomeReportingStatement
1,i just had a baby and i want to enroll some of my details for the medicare,MedicareCard
1,i want to change how i get paid for my benefits,Enquire_Payments
1,just information about applying for family tax benefit,Enquire_FTB
1,to apply for child support,ChildSupport
1,where is my claim form at,Claim
1,apply for my loan,Advance
1,i have a question about the family tax benefit,Enquire_FTB
1,partners payment,Enquire_Payments
1,i i don't know speak to an operator,Request_Operator
1,i need to ring up about my centrelink in payment parenting payment sorry,Enquire_Parenting
1,income and asset statement,IncomeReportingStatement
1,i've moved house,PersonalDetails
1,get my five hundred dollar loan,Advance
1,parents payments,Enquire_Parenting
86,reporting,Report_Earnings
1,declare declare earnings,Report_Earnings
1,i would i would like to know much my next payment is due to tomorrow,Check_Payments
2,estimate update,Update_FamilyIncomeEstimate
1,to get a letter sent out,Respond_Correspondence
1,to speak to family assistance operator,Enquire_FamilyAssistance
1,carer bonus,Carers
1,family tax benefit fee,Enquire_FTB
1,to check the progress of my m_o_d_s_t study detail form which i sent off,Education
1,the family tax bonus,Enquire_LumpPayment
1,a payment reporting earnings,Report_Earnings
1,i just want to ask about the,Enquire_Vague
1,check health_care card,Cards
1,to give you my weekly earnings,Report_Earnings
1,enquiries i don't know,Enquire_Vague
9,to report,Report_Earnings
7,to update my income estimate,Update_FamilyIncomeEstimate
1,change change working assessment,Assessment
10,i haven't been paid,Enquire_Payments
1,family bonus for six hundred and fifty dollar payments,Enquire_LumpPayment
1,internet suspension,Support_SelfService
1,overpaid,Debt
7,payment update,Enquire_Payments
1,to make you aware of my new income arrangement,Update_FamilyIncomeEstimate
1,need to speak to a customer service agent person,Request_Operator
1,it's actually i want to my son in law live with me at the moment but i still pay the child support agency first that's the reason,ChildSupport
2,emergency payment,Claim
1,about my income parenting pension,Enquire_Parenting
1,change family tax benefit,Enquire_FTB
1,questions about parenting payment,Enquire_Parenting
1,we're looking for family assistance,Enquire_FamilyAssistance
1,two thousand five six income details for family tax benefit,Enquire_FTB
1,the baby bonus thing twelve six hundred dollar per child baby bonus,Enquire_LumpPayment
1,receive receiving of a payment,Check_Payments
1,report wages income,Report_Earnings
1,i want to access the self_service,Support_SelfService
1,vacation care subsidy subsidy,Enquire_CCB
1,wanna update my family income estimate,Update_FamilyIncomeEstimate
1,to speak to an operator please,Request_Operator
1,i need to report in my earnings,Report_Earnings
1,cancelling a payment,Enquire_Payments
1,to see if we will be getting a group certificate,PaySummary
1,to see if i need a family statement for last year financial year,PaySummary
1,advance on payment,Advance
1,a new health_care card,Cards
1,to update the family income,Update_FamilyIncomeEstimate
1,i need to speak to a customer service representative,Request_Operator
1,to enquire about the rebate for child_care,ChildCareRebate
1,need to add a name onto the health_care card,Cards
1,to find out how much I got paid,Check_Payments
1,want to rent a tax return,TaxReturn
1,what how much what payment i'll be getting for family assistance on thursday,TaxReturn
1,for the bonus payment for my child,Enquire_LumpPayment
1,info on family assistance,Enquire_FamilyAssistance
1,need a group certificate or summary,PaySummary
1,to give my wife that she's not working,Employment
1,on my card,Cards
1,i tried to report my earnings and it wouldn't accept it so i just want to check and see if i get a normal standard payment on thursday,Enquire_Earnings
1,employment entry,Employment
1,to talk about family tax benefit,Enquire_FTB
1,family line,Enquire_FamilyAssistance
1,i just want to check my future payments,Check_Payments
1,check a future payment,Check_Payments
1,regarding a letter i received,Respond_Correspondence
3,six months advance,Advance
1,just want to know when the child supplement money's going to be processed,Enquire_FamilyAssistance
1,update address details,PersonalDetails
2,regarding carers allowance,Carers
1,enquiry why my payment has been suspended,Enquire_Payments
1,change of amount of child support,ChildSupport
1,why isn't my payment in my bank,Enquire_Payments
2,change deductions,Deductions
1,i'm reporting a change of annual income,Update_FamilyIncomeEstimate
1,to claim a sickness benefit,SicknessDisability
6,to change my address,PersonalDetails
1,a pension payment,Enquire_Payments
1,i need to update my family income tax benefit income,Update_FamilyIncomeEstimate
1,need some assistance or,Request_Operator
1,i need some payment information,Check_Payments
1,for the fortnight,Enquire_Vague
1,for payment options for family assistance tax b tax a,Enquire_FTB
10,family tax benefit part_a,Enquire_FTB
1,about the government payout,Enquire_LumpPayment
1,regarding my pension i need to know the rental details,RentAssistance
1,i don't need to lodge a return,TaxReturn
1,i have to change my income because i've got a job i've to let them know that i've a job,Update_FamilyIncomeEstimate
1,i need a rent certificate for housing commission,IncomeReportingStatement
1,i wanna give the centrelink my phone number while i'm overseas,Overseas
2,family tax benefit income,Enquire_FTB
1,payments for my baby,Maternity
1,apply for family allowance advance,Advance
1,to inform you i have my tax return done,TaxReturn
1,small advance,Advance
1,to enquire about a payment,Enquire_Payments
1,information about family tax benefit and shared care for my son,Enquire_FTB
1,i'm not receiving child support,ChildSupport
1,i would like to go for my family tax benefit loan,Advance
1,putting my financial year taxes,PaySummary
1,to find out when i'm going to be getting that family payment,Enquire_Payments
1,fortnightly profit and loss,IncomeReportingStatement
20,certificate,PaySummary
1,asking for a advance payment,Advance
1,change enquiry,Enquire_FamilyAssistance
1,family supplements,Enquire_FamilyAssistance
1,want to know what i'm entitled to if i take responsibility take care of my kids,Enquire_SharedCare
1,changing my pay_day,Enquire_Payments
2,port employment income,Report_Earnings
1,family tax benefit new rate,Enquire_FTB
1,to find out if i'm eligible family assistance,Claim
1,about family tax,Enquire_FTB
1,i would like to speak to a customer officer,Request_Operator
1,to enquire about tax benefit b loan,Enquire_FTB
1,my correct money wasn't in the bank,Enquire_Payments
1,i wish to suspend my family tax benefit part_a,Enquire_FTB
1,enquiring about your family assistance that's due today,Enquire_FamilyAssistance
1,i did not receive my family assistance for this week,Enquire_FamilyAssistance
1,cancelling rent,RentAssistance
1,payment future payments,Check_Payments
1,change of income assessment,Update_FamilyIncomeEstimate
1,i'm calling is for application for centrelink assistance because is i'm working before my kids me and and the boys were looking at this time we don't looking just i leave my job for the time of application for,Claim
1,to find out when i'm entitle to my five hundred dollar loan,Advance
1,i need to know what's going into my account from centrelink,Check_Payments
1,children no longer in child_care,Enquire_CCB
1,received letter,Respond_Correspondence
1,need to speak to social worker,GeneralEnquiry
1,i just want to speak to someone about a health_care card,Cards
1,wondering about the lump_sum for each child,Enquire_LumpPayment
1,change information,Enquire_FamilyAssistance
1,income parenting payment,Enquire_Parenting
1,the my payment,Check_Payments
1,speak to representative,Request_Operator
3,the family assistance,Enquire_FamilyAssistance
1,i need to put my grandchildren into holiday program i do have a health_care card but i've lost it,Enquire_CCB
1,the one_off payment,Enquire_LumpPayment
1,enquiries into phone access payment,Enquire_Payments
6,wanna speak to an operator,Request_Operator
1,notices assessment,Assessment
1,group certificate,PaySummary
1,updating the family assistance,Enquire_FamilyAssistance
1,about the family bonus,GeneralBonus
1,need to let them know i'm working,Employment
1,i need to change the school status of my,Enquire_FamilyAssistance
1,i need to find out if i'm getting paid next week,Check_Payments
1,i need to remove a scheme from my account,Enquire_Payments
1,child_care provider numbers,Enquire_CCB
5,i want to update my earnings,Report_Earnings
1,i wanna check the progress of a claim,Claim
1,six hundred dollar supplement,Enquire_LumpPayment
1,to about my income,Update_FamilyIncomeEstimate
1,for children's parenting payment,Enquire_Parenting
1,about my parenting payment,Enquire_Parenting
1,i'll just need to know the estimation income for me and my husband the combined income,Update_FamilyIncomeEstimate
1,to cancel an appointment with a social worker,Appointment
1,day_care benefits,Enquire_CCB
1,about end of year tax adjustment,Assessment
1,enquiry regarding an interview,Appointment
1,advise new employer,Employment
1,family assistance history,Enquire_FamilyAssistance
1,tax return information,TaxReturn
1,report report,Report_Earnings
1,i want to know if i'm eligible for maternity allowance,Maternity
1,to let you know that i don't have to put in a tax return this year,TaxReturn
2,report my husband's earnings,Report_Earnings
1,get me tax benefit payments,Enquire_FTB
1,change of status,Enquire_FamilyAssistance
1,i want to check the progress of the my child claim,Claim
1,to opt out of centrelink,Enquire_FamilyAssistance
1,school care school vacation care,Enquire_CCB
1,i was just wondering they had done an update for my reconciliation payment for tax two thousand six two thousand seven,Enquire_LumpPayment
1,birth of child,Maternity
1,apprenticeship,YouthAllowance
1,have a letter about an over_payment,Debt
1,total payment for two thousand and seven,PaySummary
8,my parenting payment,Enquire_Parenting
1,i've got to see someone about this every two weeks to see about the what i'm doing cause for whatever i'm doing you have to enquire every two weeks,Enquire_Vague
1,i need to report my earnings and i have,Report_Earnings
1,of course,Garbage
2,shared care arrangements,Enquire_SharedCare
24,family tax payment,Enquire_FTB
2,i want to apply for parenting payment,Claim
1,declare worked,Report_Earnings
1,to up my estimate,Update_FamilyIncomeEstimate
1,i want to start my family assistance payments again,Claim
15,i need to update my earnings,Report_Earnings
1,i want to talk to,Request_Operator
7,enquiring about family assistance,Enquire_FamilyAssistance
1,enquiry on child_care rebate,ChildCareRebate
1,password on account,Support_SelfService
1,wondering when we get the six hundred dollar payment for children,Enquire_LumpPayment
8,my next payment,Check_Payments
1,enquiry for tax,Enquire_Tax
1,my family payment and child_care benefit services,Enquire_CCB
1,advance payment on family tax,Advance
1,enquiring about family tax benefits,Enquire_FTB
1,internet self_service,Support_SelfService
1,to see if i need to fill out the flyer the tax flyer form that's been sent to me,Enquire_Tax
1,i wish to cancel my payment,Enquire_Payments
1,back to school,Enquire_CCB
1,to get more work sheets,IncomeReportingStatement
1,i need to add another child to family assistance payment,Enquire_FamilyAssistance
1,i didn't get paid properly,Enquire_Payments
1,payment query query,Enquire_Payments
1,update family assistance figures,Update_FamilyIncomeEstimate
1,i some of the assistance see because i'm new,Request_Operator
1,i need to get an income for the financial year,PaySummary
1,talk about my payment,Enquire_Payments
1,receipt of letter,Respond_Correspondence
1,the lump_sum advancement,Advance
1,my payment family payment whatever,Enquire_Payments
1,i'd like to work out my reconciliation,Assessment
1,i have some questions about my family tax benefit for the previous years and for this year,Enquire_FTB
1,changing all bank details,PersonalDetails
1,benefit payment i've got a bill to pay,Check_Payments
1,update my details and asset,Enquire_Payments
1,just checking on the assessment notice for child_care benefit,Enquire_CCB
2,supplements,Enquire_FamilyAssistance
1,family bonus assistance payment,GeneralBonus
1,no a query re a letter received,Respond_Correspondence
1,speak to social worker,GeneralEnquiry
1,advanced parenting payment sometime in july,Advance
1,just calling to let you know that i'm going back to work on a casual basis,Employment
1,to find out when my advance is going in,Advance
1,report earnings general enquiry,Report_Earnings
1,i want to see if i can get my family tax a supplement paid up,Enquire_FTB
3,family lump_sum payment,Enquire_LumpPayment
1,i have an enquiry about my payment,Enquire_Payments
1,i want to claim my family assistance part_b part_a,Claim
1,family assistance tax supplement,Enquire_FTB
1,to check my family payment,Check_Payments
1,parenting payment lump_sum payment,Enquire_LumpPayment
1,just moving,PersonalDetails
1,got didn't get all my money,Enquire_Payments
1,i'm ringing about a profit and lost statement,IncomeReportingStatement
2,enquiry about claim,Claim
3,family assistant payments,Enquire_Payments
1,for child_care arrangements,Enquire_CCB
1,i need to talk to a customer service lady,Request_Operator
1,report on assets,Enquire_Payments
1,further payments,Check_Payments
1,about the thirty percent child_care tax rebate,ChildCareRebate
1,i have received a letter from veronica reed at ringwood,Respond_Correspondence
1,mistake on my account statement,IncomeReportingStatement
1,setting up payment for my family payments,Enquire_Payments
1,about the family tax benefit a to claim,Claim
1,wanna know if i'm getting paid,Check_Payments
1,to talk to someone please,Request_Operator
1,the i wanna find out about my money,Enquire_Payments
1,change child_care income assessment,Update_FamilyIncomeEstimate
2,update payment details,Enquire_Payments
17,report fortnightly earnings,Report_Earnings
1,i need to know about the payout for,Check_Payments
1,lump_sum bonus,Enquire_LumpPayment
1,operator about the parenting payment,Enquire_Parenting
13,report payment,Report_Earnings
1,i wondered if single parents were having a six hundred dollar,Enquire_LumpPayment
1,six hundred dollars per child enquiring about,Enquire_LumpPayment
1,taxable income amount,PaySummary
1,i'd like to get summary statement for my child_care benefit,PaySummary
4,make an appointment,Appointment
1,i've just had a baby and as of the first of july i have no income,Maternity
1,advanced payment and a new estimate a wage estimate,Advance
1,c_c_b approved care,Enquire_CCB
1,a sir customer assistance service,Request_Operator
1,advance payment loan,Advance
2,payments stopped,Enquire_Payments
1,six month payment,Enquire_LumpPayment
1,speak,Request_Operator
1,new_born new_born payment,Claim
1,change my days for payment,Enquire_Payments
3,circumstances have changed,Change_Circumstances
1,increase decrease in pay,Enquire_Payments
1,a family payments,Enquire_Payments
1,i wanna update my family payment,Enquire_FTB
1,short payment,Enquire_Payments
1,enquiring about the advance payment,Advance
1,continuation on parenting payment depending on what,Enquire_Parenting
2,rental,RentAssistance
3,i need to speak with an operator,Request_Operator
1,payment review,Enquire_Payments
1,lost a concession card,Cards
1,parenting payment please,Enquire_Parenting
1,finding out about payments,Enquire_Payments
1,i need a summary on my child allowance,PaySummary
1,rental assistance enquiry,RentAssistance
1,we want child claim for family assistance and medicare,Claim
1,family tax a and b,Enquire_FTB
1,the five hundred loan,Advance
1,check_up on payment,Check_Payments
1,i want to enquire about the supplement,Enquire_FamilyAssistance
1,to advice you about my tax return,TaxReturn
1,baby bonus and parenting new parent,Maternity
1,about tax return for my parenting payment,PaySummary
1,i've got a letter enquiring about my daughter's income and i wanted to tell you people the total,Enquire_FamilyAssistance
1,i want to know how much i'm receiving on wednesday,Check_Payments
1,child turned sixteen will earn income over eleven thousand next financial year,Enquire_FamilyAssistance
1,a letter to be sent out with payments,Respond_Correspondence
1,the new application for payment form for parenting payment,Claim
1,i'd like to make an appointment to come and see you,Appointment
1,i need to change my child_care provider number and i have some questions about my family assistance payment,Enquire_CCB
2,need to update family income estimate,Update_FamilyIncomeEstimate
1,i would like you to remove chantal silvers name from the the the list she is in high school now and therefore she does not require any sort of child_care,Enquire_CCB
1,i've got to ring up i'm doing fifteen hours a week just to let yous know,Report_Earnings
1,i want to talk to a consultant,Request_Operator
1,ticket,Garbage
1,lump_sum parenting payment,Enquire_LumpPayment
1,to stop the family assistance payment,Enquire_FamilyAssistance
1,register for day_care,Enquire_CCB
1,claim five hundred dollar advance,Advance
56,advanced payment,Advance
1,check child_care assistance,Check_Payments
2,update family assistance payment,Enquire_FamilyAssistance
1,i require an statement,IncomeReportingStatement
1,enrollment in child_care,Enquire_CCB
1,self_service payment information,Check_Payments
1,to give a child_care registration number,Enquire_CCB
3,enquiry about a letter,Respond_Correspondence
1,provide payment details,Check_Payments
1,to talk to a customer assistant,Request_Operator
1,family advance supplement,Advance
1,not paying we will not pay income tax this year,TaxReturn
1,tax income benefit,PaySummary
1,just checking my parenting payment,Check_Payments
1,i'm waiting for a call back,Respond_Correspondence
1,family income reporting earnings update,Update_FamilyIncomeEstimate
1,change my circumstance,Change_Circumstances
1,assessment notice for my child_care benefit,Enquire_CCB
1,querying information supplied by centrelink,Respond_Correspondence
1,i'm just enquiring about my my payment money for my youngest daughter,Enquire_Payments
1,i need health_care cards for children and to see when the tax benefit comes,Cards
1,to report not hand in a tax,TaxReturn
1,finding lump_sum payment,Enquire_LumpPayment
1,benefit part_a supplement,Enquire_FTB
1,to find out whether i'm receiving family family tax benefits,Enquire_FTB
2,change in earnings,Update_FamilyIncomeEstimate
1,child support agency payments and family tax benefits consequences,ChildSupport
1,family repayment,Debt
32,details,PersonalDetails
1,the family assistance payment,Enquire_Payments
1,what is the income amount for health_care card,Cards
1,finding out about family tax parenting benefit,Enquire_FTB
1,i just wanna wondering for my family tax benefit,Enquire_FTB
1,government lump_sum,Enquire_LumpPayment
